feature_1,feature_2,feature_3,feature_4,feature_5,is_anomaly
18.277571862204095,48.59274898879333,43.92255720814837,42.89379824850396,13.34033207795521,0
22.595479757591697,45.24164437075551,34.772460988086216,29.038658179538523,15.248533839809943,0
20.12797383538474,48.40341071397285,23.545938852588456,33.31135950505597,-2.885488079204853,0
16.41264066054674,45.08706257143177,47.43882008697113,31.308031311819427,26.54854489044468,0
17.728822620084127,47.78557198651946,29.888634015251313,17.650589465673598,-1.5271561481836624,0
18.945137464239547,42.80721953283361,34.75910152345906,21.886287587369917,10.419548003601049,0
20.045468004221213,48.34792671051056,46.781281141018255,23.357692071120162,-3.3316363530355257,0
31.492494707730668,39.09947438198856,-21.570833341551342,82.23596319564943,56.22706407679966,1
23.4687365960939,47.514378420087624,30.79646934627968,25.714268824860028,5.443834818897347,0
17.566290670474206,44.69709773155063,44.40675000180184,26.961881465475372,0.9479464827152455,0
17.323420507652678,47.78867791205136,25.812104290039116,28.839898681303715,17.787186836614964,0
18.51996141970231,47.61832742993881,32.20796546090695,29.292108191488555,6.034054846716991,0
16.172025426810098,46.92871966410535,42.88419072482542,37.30828687338227,-4.345047718653316,0
18.760290073115602,49.833514493761804,39.895826092088775,35.732430143468605,10.036794496792394,0
20.26839584851326,47.64959379290575,25.679938304110976,40.564590568416236,27.28902990257435,0
21.660773735944332,43.0500826424295,31.649259400056586,27.761923581261627,8.252353200881684,0
16.74861574137544,47.1613439126748,42.89328397635173,35.25417134924054,5.253327709958464,0
18.599315481064888,45.881969321575845,51.98769469489355,21.596923191356826,7.957246153781061,0
21.306007309205153,45.55188823700025,55.06737235630328,31.26139568065702,-2.5460783180108812,0
12.063117640690836,46.964542532992695,47.74541180766157,27.814290751942927,19.003641333843625,0
13.153838719319609,47.81785767764313,38.22345084645731,28.66037829333005,-0.24058996808898847,0
13.150904322512778,46.69871481934665,35.23112224171292,33.65567428458495,17.226052557165154,0
22.6507335707154,47.363783349215716,39.71772683854516,33.57414058416177,1.1163056122320203,0
19.900450785409678,44.23646762256338,41.76697461781334,25.464663924430514,17.73198644919598,0
18.92157557954398,48.38740025412766,29.788040715347314,33.847438008143996,7.350277398680122,0
22.44149011398384,48.92592954514852,36.12598729496246,32.2525723730599,6.505106181467039,0
18.220296202489415,50.804736356119896,52.34031388323182,21.702675559534686,3.099710947736405,0
15.027359657862497,48.58897848484343,37.820114754703496,22.97179162974658,4.010014235267166,0
23.542664959053127,45.24664264202018,51.72541681740707,26.040336983078575,7.2696221925617035,0
16.665810378611347,49.23803576513691,32.16843999325406,41.69326677599718,14.723709838260502,0
13.556102657275167,49.815194071146394,43.231081414798915,30.408550214666985,1.0220703661798813,0
19.190998986675034,48.26332933105311,35.59156191489558,24.758295201067682,10.979138439753429,0
29.869344008543536,36.71118989408868,77.2925604496025,65.48417905905083,-50.12848314334546,1
18.92078084095294,48.619520356099144,49.651310074428785,24.27929450857129,2.518730139857997,0
16.910875851135376,47.07956711919127,40.71067932821106,20.315914006435943,17.475556100605672,0
15.449176963201317,50.309757349494106,22.991480022633127,34.18175095139382,-4.77776146709806,0
19.644627562931603,46.380193236474646,32.251780203694665,26.17960955165252,17.959610105566014,0
13.500276559408363,47.14496838574444,34.464793952319376,31.39392735826414,8.018189114347026,0
18.44227332012967,46.106785470203896,27.70436845378842,20.021159648861033,9.169490398686786,0
18.012876126949394,47.093460340729756,50.54772514085872,35.634427850416294,-2.352555628665593,0
7.6759359951577055,35.36664922812773,82.35056808569942,-5.810811791914469,62.923000747068556,1
16.70634262082209,47.524578352971425,29.604675207556344,26.76423931789851,6.222036174600902,0
22.120039512428082,45.311771336957705,27.492926478517212,27.675136476668396,20.84951662191473,0
17.432322092676625,45.861755957353616,30.876495148982958,43.63381533097093,8.799287073637721,0
16.835133074114474,48.56694268235454,29.760030448446386,18.743872024674275,5.67774760501622,0
18.928158832692095,44.17053557058887,37.345164751941574,28.77165752795292,3.0025048696940457,0
26.069960586031247,44.89793333944935,38.384325636652704,30.02055883210967,15.379970283633812,0
18.81587123697796,44.423832754209734,38.14038579276648,33.5339523210605,0.5865609314452893,0
18.81425775345227,46.31851382411011,26.795359620970174,21.351695264811774,2.554298226656061,0
19.622090903808278,45.062018576218584,31.393535612585136,16.172660861206396,-0.3489218119755506,0
18.638145714010978,45.688226864010424,60.39895479408568,32.04711789446547,6.246515815341666,0
22.120972710877208,45.50092065676473,47.060399785666405,29.2764268341773,3.99390290354445,0
19.604364048898315,48.25776730802865,50.549006296268026,37.76645301069731,7.137090877195167,0
21.98416118194733,48.69366529541692,41.850665204486525,31.784008634098818,9.415545344578092,0
19.1288481208568,46.60850550307314,27.298004697183224,34.21124137892627,6.1313629282645845,0
19.039344382132604,51.582789433150694,28.306448973056114,25.89704099682651,13.459944117222438,0
22.515581841963392,47.658021935898574,52.90045711407858,29.877026824748583,14.92522113297804,0
22.36111184445113,46.58654405946696,34.848752358559096,39.19678513088625,2.553526571845376,0
